w/l,ft,gft,1ht,g1ht,2ht,g2ht,q1,gq1,q2,gq2,q3,gq3,q4,gq4,opp,ground
w,102,187,62,105,40,82,35,55,27,50,19,36,21,46,sichuan blue whales,a
w,103,166,49,87,54,79,25,44,24,43,31,50,23,29,beijing royal fighters,h
w,104,194,48,98,56,96,24,51,24,47,33,53,23,20,shenzhen aviators,a
w,112,212,53,97,59,105,26,44,27,53,35,70,24,45,nanjing monkey kings,a
l,85,184,40,94,45,90,25,50,15,44,24,51,21,39,guangdong southern tigers,h
l,60,162,38,84,22,78,17,43,21,41,12,38,10,40,zhejiang golden bulls,h
w,118,220,65,109,53,111,36,57,29,52,28,51,25,60,tianjin pioneers,h
w,138,225,80,124,58,101,45,70,35,54,32,50,26,51,fujian sturgeons,a
w,112,188,46,88,66,100,22,35,24,53,34,57,32,43,sichuan blue whales,a
w,98,189,49,89,49,100,23,39,26,50,27,55,22,45,nanjing monkey kings,h
