w/l,ft,gft,1ht,g1ht,2ht,g2ht,q1,gq1,q2,gq2,q3,gq3,q4,gq4,opp,ground
w,108,214,51,110,57,104,26,47,25,63,19,43,38,61,shandong heroes,h
w,97,193,53,103,44,90,26,52,27,51,23,41,21,49,guangdong southern tigers,a
w,104,182,46,87,58,95,28,44,18,43,32,46,26,49,fujian sturgeons,a
w,109,211,51,96,58,115,19,42,32,54,30,58,28,57,zhejiang guangsha lions,h
w,83,162,43,90,40,72,17,39,26,51,11,32,29,40,sichun blue whales,h
w,101,195,47,91,54,104,21,37,26,54,30,55,24,49,beijing ducks,a
w,102,162,46,84,56,68,26,43,20,41,26,38,30,40,liaoning flying leopards,a
w,115,197,69,105,46,92,33,58,36,47,25,47,21,45,northeast tigers,h
l,89,183,48,94,41,89,28,49,18,45,28,56,20,33,guangdong southern tigers,a
w,110,191,60,88,50,103,30,40,30,48,23,59,27,44,fujian sturgeons,a
